start,end,speaker
0.03,1.25,SPEAKER_00
1.85,2.01,SPEAKER_00
2.56,6.83,SPEAKER_00
8.03,10.56,SPEAKER_00
10.81,11.71,SPEAKER_00
12.11,12.65,SPEAKER_00
13.53,16.10,SPEAKER_00
18.48,19.94,SPEAKER_00
20.92,21.78,SPEAKER_00
22.20,23.03,SPEAKER_00
23.25,29.85,SPEAKER_00
31.44,33.19,SPEAKER_00
33.63,36.28,SPEAKER_00
36.60,37.22,SPEAKER_00
38.57,40.67,SPEAKER_00
40.90,44.43,SPEAKER_00
45.42,49.80,SPEAKER_00
50.64,52.44,SPEAKER_00
